time_stamp,advertising_address,power_level
1697559927.889022,50:c5:40:32:85:d8,8
1697559927.889022,50:c5:40:32:85:d8,8
1697559927.889022,5f:be:24:61:e2:52,7
1697559927.889022,5f:be:24:61:e2:52,7
1697559927.895999,5f:be:24:61:e2:52,7
1697559927.897518,7f:ee:db:b6:27:b6,12
1697559927.899112,7f:ee:db:b6:27:b6,12
1697559927.900376,7f:ee:db:b6:27:b6,12
1697559927.905315,68:a6:c5:bc:71:83,7
1697559927.905315,68:a6:c5:bc:71:83,7
1697559927.905315,68:a6:c5:bc:71:83,7
1697559927.905315,52:2e:e7:a6:73:4b,7
1697559927.913338,52:2e:e7:a6:73:4b,7
1697559927.913338,52:2e:e7:a6:73:4b,7
1697559927.953965,80:e1:26:12:25:61,0
1697559927.953965,80:e1:26:12:25:61,0
1697559927.953965,80:e1:26:12:25:61,0
1697559927.966372,65:02:2d:d2:42:00,8
1697559927.984244,49:21:ed:b9:34:f7,5
1697559927.986773,6a:b4:99:8f:3c:7b,3
1697559927.986773,6a:b4:99:8f:3c:7b,3
1697559928.005946,5e:47:50:19:51:66,4
1697559928.007393,5e:47:50:19:51:66,4
1697559928.011404,72:0a:f0:cf:c8:5c,8
1697559928.011404,72:0a:f0:cf:c8:5c,8
1697559928.011404,72:0a:f0:cf:c8:5c,8
1697559928.027616,80:e1:26:12:25:61,0
1697559928.027616,80:e1:26:12:25:61,0
1697559928.027616,80:e1:26:12:25:61,0
1697559928.027616,7f:f4:e4:2c:f6:a4,6
1697559928.027616,7f:f4:e4:2c:f6:a4,6
1697559928.035679,7f:f4:e4:2c:f6:a4,6
1697559928.042453,72:43:e4:91:6c:8d,8
1697559928.042453,72:43:e4:91:6c:8d,8
1697559928.043968,72:43:e4:91:6c:8d,8
1697559928.060392,72:22:60:83:08:3b,8
1697559928.07882,5c:cc:3a:bb:44:6a,9
1697559928.084838,5c:cc:3a:bb:44:6a,9
1697559928.101562,71:e7:a8:f6:32:3d,7
1697559928.104022,71:e7:a8:f6:32:3d,7
1697559928.104022,71:e7:a8:f6:32:3d,7
1697559928.111996,74:a0:83:fb:de:c3,12
1697559928.11852,74:a0:83:fb:de:c3,12
1697559928.11852,74:a0:83:fb:de:c3,12
1697559928.150673,7f:ee:db:b6:27:b6,12
1697559928.158703,7f:ee:db:b6:27:b6,12
1697559928.158703,7f:ee:db:b6:27:b6,12
1697559928.163301,5f:be:24:61:e2:52,7
1697559928.168302,5f:be:24:61:e2:52,7
1697559928.168302,5f:be:24:61:e2:52,7
1697559928.191735,52:2e:e7:a6:73:4b,7
1697559928.199768,52:2e:e7:a6:73:4b,7
1697559928.199768,52:2e:e7:a6:73:4b,7
1697559928.216123,43:40:9d:b7:43:28,8
1697559928.216123,43:40:9d:b7:43:28,8
1697559928.222381,43:40:9d:b7:43:28,8
1697559928.312141,65:02:2d:d2:42:00,8
1697559928.314709,65:02:2d:d2:42:00,8
1697559928.318691,65:02:2d:d2:42:00,8
1697559928.334995,7e:5a:6c:04:19:16,7
1697559928.338687,7e:5a:6c:04:19:16,7
1697559928.342726,7e:5a:6c:04:19:16,7
1697559928.363198,49:21:ed:b9:34:f7,5
1697559928.363198,6a:b4:99:8f:3c:7b,3
1697559928.371474,6a:b4:99:8f:3c:7b,3
1697559928.404149,5e:47:50:19:51:66,4
1697559928.471558,72:0a:f0:cf:c8:5c,8
1697559928.480252,72:0a:f0:cf:c8:5c,8
1697559928.480252,72:0a:f0:cf:c8:5c,8
1697559928.480252,5c:cc:3a:bb:44:6a,9
1697559928.494289,4b:21:9f:41:5b:a2,12
1697559928.494289,4b:21:9f:41:5b:82,12
1697559928.501663,4b:21:9f:41:5b:82,12
1697559928.505846,7f:f4:e4:2c:f6:a4,6
1697559928.505846,7f:f4:e4:2c:f6:a4,6
1697559928.510863,7f:f4:e4:2c:f6:a4,6
1697559928.520878,72:43:e4:91:6c:8d,8
1697559928.520878,72:43:e4:91:6c:8d,8
1697559928.520878,72:43:e4:91:6c:8d,8
1697559928.567487,70:ec:b9:0c:e9:d0,7
1697559928.568623,70:ec:b9:0c:e9:d0,7
1697559928.569849,70:ec:b9:0c:e9:d0,7
1697559928.569849,71:e7:a8:f6:32:3d,7
1697559928.571919,71:e7:a8:f6:32:3d,7
1697559928.573186,71:e7:a8:f6:32:3d,7
1697559928.573186,74:a0:83:fb:de:c3,12
1697559928.57498,74:a0:83:fb:de:c3,12
1697559928.575557,74:a0:83:fb:de:c3,12
1697559928.578142,7f:ee:db:b6:27:b6,12
1697559928.594593,68:a6:c5:bc:71:83,7
1697559928.596054,68:a6:c5:bc:71:83,7
1697559928.597324,52:2e:e7:a6:73:4b,7
1697559928.599304,52:2e:e7:a6:73:4b,7
1697559928.599304,52:2e:e7:a6:73:4b,7
1697559928.601499,43:40:9d:b7:43:28,8
1697559928.602682,43:40:9d:b7:43:28,8
1697559928.603859,43:40:9d:b7:43:28,8
1697559928.624246,5c:cc:3a:bb:44:6a,9
1697559928.624246,5c:cc:3a:bb:44:6a,9
1697559928.624246,5c:cc:3a:bb:44:6a,9
1697559928.661527,65:02:2d:d2:42:00,8
1697559928.663979,65:02:2d:d2:42:00,8
1697559928.667756,65:02:2d:d2:42:00,8
1697559928.667756,7e:5a:6c:04:19:16,7
1697559928.671656,7e:5a:6c:04:19:16,7
1697559928.673678,7e:5a:6c:04:19:16,7
1697559928.715934,49:21:ed:b9:34:f7,4
1697559928.771116,4a:17:d5:d3:2c:31,8
1697559928.771116,4a:17:d5:d3:2c:31,8
1697559928.77912,4a:17:d5:d3:2c:31,8
1697559928.803137,72:0a:f0:cf:c8:5c,8
1697559928.803137,72:0a:f0:cf:c8:5c,8
1697559928.811714,72:0a:f0:cf:c8:5c,8
1697559928.85263,7f:f4:e4:2c:f6:a4,6
1697559928.860669,7f:f4:e4:2c:f6:a4,6
1697559928.860669,7f:f4:e4:2c:f6:a4,6
1697559928.897452,72:43:e4:91:6c:8d,8
1697559928.90097,72:43:e4:91:6c:8d,8
1697559928.90097,72:43:e4:91:6c:8d,8
1697559928.938027,7a:56:92:d9:93:ef,7
1697559928.942061,7a:56:92:d9:93:ef,7
1697559928.943582,7a:56:92:d9:93:ef,7
1697559928.97461,4b:59:6d:59:5f:77,7
1697559928.97461,4b:59:6d:59:5f:77,7
1697559928.982635,70:ec:b9:0c:e9:d0,7
1697559928.982635,70:ec:b9:0c:e9:d0,7
1697559928.982635,70:ec:b9:0c:e9:d0,7
1697559928.990639,5c:cc:3a:bb:44:6a,9
1697559928.998778,74:a0:83:fb:de:c3,12
1697559928.998778,74:a0:83:fb:de:c3,12
1697559929.006807,74:a0:83:fb:de:c3,12
1697559929.010131,71:e7:a8:f6:32:3d,7
1697559929.015093,71:e7:a8:f6:32:3d,7
1697559929.015093,71:e7:a8:f6:32:3d,7
1697559929.015093,7f:ee:db:b6:27:b6,12
1697559929.023115,7f:ee:db:b6:27:b6,12
1697559929.023115,7f:ee:db:b6:27:b6,12
1697559929.032886,50:c5:40:32:85:d8,8
1697559929.035858,50:c5:40:32:85:d8,8
1697559929.037746,50:c5:40:32:85:d8,8
1697559929.146531,65:02:2d:d2:42:00,8
1697559929.152603,65:02:2d:d2:42:00,8
1697559929.152603,65:02:2d:d2:42:00,8
1697559929.152603,7e:5a:6c:04:19:16,7
1697559929.16064,7e:5a:6c:04:19:16,7
1697559929.165282,7e:5a:6c:04:19:16,7
1697559929.184927,49:e1:ed:b9:34:f7,5
1697559929.184927,6a:b4:99:8f:3c:7b,3
1697559929.193011,6a:b4:99:8f:3c:7b,3
1697559929.19491,6a:7c:a6:91:79:f5,14
1697559929.19491,6a:7c:a6:91:79:f5,8
1697559929.202686,4a:17:d5:d3:2c:31,8
1697559929.250866,72:0a:f0:cf:c8:5c,8
1697559929.250866,72:0a:f0:cf:c8:5c,8
1697559929.262904,5c:cc:3a:bb:44:6a,9
1697559929.277765,7f:f4:e4:2c:f6:a4,6
1697559929.277765,7f:f4:e4:2c:f6:a4,6
1697559929.285553,7f:f4:e4:2c:f6:a4,6
1697559929.303114,72:43:e4:91:6c:8d,8
1697559929.303114,72:43:e4:91:6c:8d,8
1697559929.351512,72:22:60:83:08:3b,8
1697559929.353359,7a:56:92:d9:93:ef,7
1697559929.360023,7a:56:92:d9:93:ef,7
1697559929.360023,7a:56:92:d9:93:ef,7
1697559929.452246,71:e7:a8:f6:32:3d,7
1697559929.482279,68:a6:c5:bc:71:83,7
1697559929.482279,5f:be:24:61:e2:52,7
1697559929.490321,5f:be:24:61:e2:52,7
1697559929.492265,5f:be:24:61:e2:52,7
1697559929.492265,52:2e:e7:a6:73:4b,7
1697559929.492265,52:2e:e7:a6:73:4b,7
1697559929.498785,52:2e:e7:a6:73:4b,7
1697559929.555642,65:02:2d:d2:42:00,8
1697559929.555642,65:02:2d:d2:42:00,8
1697559929.555642,65:02:2d:d2:42:00,8
1697559929.579721,7e:5a:6c:04:19:16,7
1697559929.579721,7e:5a:6c:04:19:16,7
1697559929.583012,7e:5a:6c:04:19:16,7
1697559929.604756,49:31:ed:b9:34:ef,-123
1697559929.619163,6a:b4:99:8f:3c:7b,3
1697559929.621234,6a:b4:99:8f:3c:7b,3
1697559929.621234,6a:b4:99:8f:3c:7b,3
1697559929.621234,6a:7c:a6:91:79:f5,8
1697559929.633495,4a:17:d5:d3:2c:31,8
1697559929.635871,4a:17:d5:d3:2c:31,8
1697559929.63922,4a:17:d5:d3:2c:31,8
1697559929.652585,72:0a:f0:cf:c8:5c,8
1697559929.660615,72:0a:f0:cf:c8:5c,8
1697559929.660615,72:0a:f0:cf:c8:5c,8
1697559929.717523,4b:21:9f:41:5b:82,12
1697559929.762482,72:43:e4:91:6c:8d,8
1697559929.766502,72:43:e4:91:6c:8d,8
1697559929.768784,72:43:e4:91:6c:8d,8
1697559929.834021,7a:56:92:d9:93:ef,7
1697559929.83732,7a:56:92:d9:93:ef,7
1697559929.839837,7a:56:92:d9:93:ef,7
1697559929.863964,70:ec:b9:0c:e9:d0,7
1697559929.863964,70:ec:b9:0c:e9:d0,7
1697559929.863964,70:ec:b9:0c:e9:d0,7
1697559929.888178,5c:cc:3a:bb:44:6a,9
1697559929.896376,5c:cc:3a:bb:44:6a,9
1697559929.900429,50:c5:40:32:85:d8,8
1697559929.900429,50:c5:40:32:85:d8,8
1697559929.904444,74:a0:83:fb:de:c3,12
1697559929.904444,74:a0:83:fb:de:c3,12
1697559929.920516,4e:c0:7f:3f:39:88,7
1697559929.920516,4e:c0:7f:3f:39:8c,7
1697559929.928533,68:a6:c5:bc:71:83,7
1697559929.928533,68:a6:c5:bc:71:83,7
1697559929.928533,68:a6:c5:bc:71:83,7
1697559929.945557,52:2e:e7:a6:73:4b,7
1697559929.95257,52:2e:e7:a6:73:4b,7
1697559929.95257,52:2e:e7:a6:73:4b,7
1697559929.977085,65:02:2d:d2:42:00,8
1697559929.977085,65:02:2d:d2:42:00,8
1697559929.977085,65:02:2d:d2:42:00,8
1697559929.988501,7e:5a:6c:04:19:16,7
1697559929.988501,7e:5a:6c:04:19:16,7
1697559930.003986,6a:b4:99:8f:3c:7b,3
1697559930.006772,6a:b4:99:8f:3c:7b,3
1697559930.025834,6a:b4:99:8f:3c:7b,3
1697559930.058588,4a:17:d5:d3:2c:31,8
1697559930.058588,4a:17:d5:d3:2c:31,8
1697559930.067114,4a:17:d5:d3:2c:31,8
1697559930.091342,56:46:50:19:51:66,4
1697559930.091342,5e:47:50:19:51:66,4
1697559930.099816,72:0a:f0:cf:c8:5c,8
1697559930.099816,72:0a:f0:cf:c8:5c,8
1697559930.104681,72:0a:f0:cf:c8:5c,8
1697559930.108196,6f:e9:c6:aa:f4:c8,5
1697559930.116222,4b:21:9f:41:5b:82,12
1697559930.120045,4b:21:9f:41:5b:82,12
1697559930.120045,5c:cc:3a:bb:44:6a,9
1697559930.12456,7f:f4:e4:2c:f6:a4,6
1697559930.133015,7f:f4:e4:2c:f6:a4,6
1697559930.152265,72:43:e4:91:6c:8d,8
1697559930.1534,72:43:e4:91:6c:8d,8
1697559930.185919,7a:56:92:d9:93:ef,7
1697559930.190594,7a:56:92:d9:93:ef,7
1697559930.223736,7a:56:92:d9:93:ef,7
1697559930.245392,50:c5:40:32:85:d8,8
1697559930.252995,50:c5:40:32:85:d8,8
1697559930.258761,50:c5:40:32:85:d8,8
1697559930.272272,71:e7:a8:f6:32:3d,7
1697559930.280267,71:e7:a8:f6:32:3d,7
1697559930.280267,71:e7:a8:f6:32:3d,7
1697559930.280267,74:a0:83:fb:de:c3,12
1697559930.280267,74:a0:83:fb:de:c3,12
1697559930.288272,74:a0:83:fb:de:c3,12
1697559930.288272,68:a6:c5:bc:71:83,7
1697559930.288272,68:a6:c5:bc:71:83,7
