time_stamp,advertising_address
1707959960.7844737,53:f7:db:ba:5a:50
1707959960.810724,53:f7:db:ba:5a:50
1707959960.8369744,53:f7:db:ba:5a:50
1707959960.8644745,53:f7:db:ba:5a:50
1707959960.8907244,53:f7:db:ba:5a:50
1707959960.9394746,53:f7:db:ba:5a:50
1707959960.9632251,53:f7:db:ba:5a:50
1707959960.9894753,53:f7:db:ba:5a:50
1707959961.0169754,53:f7:db:ba:5a:50
1707959961.0382254,53:f7:db:ba:5a:50
1707959961.0669754,53:f7:db:ba:5a:50
1707959961.095726,53:f7:db:ba:5a:50
1707959961.1232257,53:f7:db:ba:5a:50
1707959961.1457257,53:f7:db:ba:5a:50
1707959961.174476,53:f7:db:ba:5a:50
1707959961.2007263,53:f7:db:ba:5a:50
1707959961.2257261,53:f7:db:ba:5a:50
1707959961.2482266,53:f7:db:ba:5a:50
1707959961.2744768,53:f7:db:ba:5a:50
1707959961.2957268,53:f7:db:ba:5a:50
1707959961.3207266,53:f7:db:ba:5a:50
1707959961.3419771,53:f7:db:ba:5a:50
1707959961.3657274,53:f7:db:ba:5a:50
1707959961.4157271,53:f7:db:ba:5a:50
1707959961.4382277,53:f7:db:ba:5a:50
1707959961.461978,53:f7:db:ba:5a:50
1707959961.4882278,53:f7:db:ba:5a:50
1707959961.5169778,53:f7:db:ba:5a:50
1707959961.5444782,53:f7:db:ba:5a:50
1707959961.5657282,53:f7:db:ba:5a:50
1707959961.5869784,53:f7:db:ba:5a:50
1707959961.6069787,53:f7:db:ba:5a:50
1707959961.6344783,53:f7:db:ba:5a:50
1707959961.6619787,53:f7:db:ba:5a:50
1707959961.681979,53:f7:db:ba:5a:50
1707959961.7069793,53:f7:db:ba:5a:50
1707959961.733229,53:f7:db:ba:5a:50
1707959961.7594795,53:f7:db:ba:5a:50
1707959961.7844794,53:f7:db:ba:5a:50
1707959961.8069794,53:f7:db:ba:5a:50
1707959961.82823,53:f7:db:ba:5a:50
1707959961.8557298,53:f7:db:ba:5a:50
1707959961.8844798,53:f7:db:ba:5a:50
1707959961.90573,53:f7:db:ba:5a:50
1707959961.9307303,53:f7:db:ba:5a:50
1707959961.9732306,53:f7:db:ba:5a:50
1707959961.9957304,53:f7:db:ba:5a:50
1707959962.0169806,53:f7:db:ba:5a:50
1707959962.0407307,53:f7:db:ba:5a:50
1707959962.064481,53:f7:db:ba:5a:50
1707959962.0844812,53:f7:db:ba:5a:50
1707959962.1069813,53:f7:db:ba:5a:50
1707959962.1269815,53:f7:db:ba:5a:50
1707959962.1507313,53:f7:db:ba:5a:50
1707959962.1732318,53:f7:db:ba:5a:50
1707959962.1944818,53:f7:db:ba:5a:50
1707959962.216982,53:f7:db:ba:5a:50
1707959962.241982,53:f7:db:ba:5a:50
