time_stamp,advertising_address
1707958707.5645213,ef:21:ad:2c:3f:0b
1707958709.5709195,ef:21:ad:2c:3f:0b
1707958711.5713832,ef:21:ad:2c:3f:0b
1707958713.5797975,ef:21:ad:2c:3f:0b
1707958715.5892365,ef:21:ad:2c:3f:0b
1707958717.5932682,ef:21:ad:2c:3f:0b
1707958719.5967865,ef:21:ad:2c:3f:0b
1707958721.6021624,ef:21:ad:2c:3f:0b
1707958723.6059687,ef:21:ad:2c:3f:0b
1707958725.6159685,ef:21:ad:2c:3f:0b
1707958727.617743,ef:21:ad:2c:3f:0b
1707958729.621582,ef:21:ad:2c:3f:0b
1707958731.6276937,ef:21:ad:2c:3f:0b
1707958733.6371007,ef:21:ad:2c:3f:0b
1707958735.6429555,ef:21:ad:2c:3f:0b
1707958737.648571,ef:21:ad:2c:3f:0b
1707958739.6511457,ef:21:ad:2c:3f:0b
1707958741.654185,ef:21:ad:2c:3f:0b
1707958743.6542,ef:21:ad:2c:3f:0b
1707958745.6556706,ef:21:ad:2c:3f:0b
1707958747.6617985,ef:21:ad:2c:3f:0b
1707958749.662821,ef:21:ad:2c:3f:0b
1707958751.6655722,ef:21:ad:2c:3f:0b
1707958753.6685786,ef:21:ad:2c:3f:0b
1707958755.67213,ef:21:ad:2c:3f:0b
1707958757.6728806,ef:21:ad:2c:3f:0b
1707958759.6794882,ef:21:ad:2c:3f:0b
1707958761.6860952,ef:21:ad:2c:3f:0b
1707958763.6883984,ef:21:ad:2c:3f:0b
1707958765.6891341,ef:21:ad:2c:3f:0b
1707958766.436094,c7:90:6a:a2:01:38
1707958767.6903965,ef:21:ad:2c:3f:0b
1707958769.6975152,ef:21:ad:2c:3f:0b
1707958771.7031307,ef:21:ad:2c:3f:0b
1707958773.7102497,ef:21:ad:2c:3f:0b
1707958775.7179127,ef:21:ad:2c:3f:0b
1707958777.7181196,ef:21:ad:2c:3f:0b
1707958779.7257357,ef:21:ad:2c:3f:0b
1707958781.7282617,ef:21:ad:2c:3f:0b
1707958783.730006,ef:21:ad:2c:3f:0b
1707958785.7364197,ef:21:ad:2c:3f:0b
1707958787.740019,ef:21:ad:2c:3f:0b
1707958789.742835,ef:21:ad:2c:3f:0b
1707958790.6709702,fc:a6:86:7c:db:d4
1707958791.7471368,ef:21:ad:2c:3f:0b
1707958795.7317395,b1:e6:8e:2f:5f:94
1707958795.7611516,ef:21:ad:2c:3f:0b
1707958797.7705905,ef:21:ad:2c:3f:0b
1707958799.7777262,ef:21:ad:2c:3f:0b
1707958801.781565,ef:21:ad:2c:3f:0b
1707958803.789228,ef:21:ad:2c:3f:0b
1707958805.2761037,ef:21:ad:2c:3f:0b
1707958805.5494936,d9:5d:af:61:a1:6b
1707958807.2860548,ef:21:ad:2c:3f:0b
1707958809.2867749,ef:21:ad:2c:3f:0b
1707958811.2952375,ef:21:ad:2c:3f:0b
